,RegionName,Date,HomePrice,SchoolRating,CrimeRate,DesirabilityScore
3275,Kentucky,2020-06-01T00:00:00.000,145454.6381458011,4.940823968094264,3.2390643985419203,0.9452045890929948
27,Oklahoma,2015-01-01T00:00:00.000,116028.20626109996,6.8855366267343925,4.403705953827461,0.934849463465177
77,Oklahoma,2015-02-01T00:00:00.000,116382.25363882491,6.8855366267343925,4.403705953827461,0.9343739574584258
1438,West Virginia,2017-05-01T00:00:00.000,107581.65503694932,6.818577174939492,2.1728432563791014,0.9335224006276408
1388,West Virginia,2017-04-01T00:00:00.000,107217.81735506628,6.818577174939492,2.1728432563791014,0.9330664390731008
227,Oklahoma,2015-05-01T00:00:00.000,117447.18296594416,6.8855366267343925,4.403705953827461,0.932950353999534
1288,West Virginia,2017-02-01T00:00:00.000,106544.84457018832,6.818577174939492,2.1728432563791014,0.9329483771544173
1538,West Virginia,2017-07-01T00:00:00.000,107439.81789575442,6.818577174939492,2.1728432563791014,0.9327824772979552
1488,West Virginia,2017-06-01T00:00:00.000,107663.56759172918,6.818577174939492,2.1728432563791014,0.9327466074455376
1338,West Virginia,2017-03-01T00:00:00.000,106750.23664746132,6.818577174939492,2.1728432563791014,0.9327059347765034
177,Oklahoma,2015-04-01T00:00:00.000,117016.03248559136,6.8855366267343925,4.403705953827461,0.9326707997389928
2177,Oklahoma,2018-08-01T00:00:00.000,129143.9767828158,6.8855366267343925,4.403705953827461,0.932630466856083
127,Oklahoma,2015-03-01T00:00:00.000,116651.3616277792,6.8855366267343925,4.403705953827461,0.9321369929774108
2027,Oklahoma,2018-05-01T00:00:00.000,128801.70398043298,6.8855366267343925,4.403705953827461,0.9319458853732672
1588,West Virginia,2017-08-01T00:00:00.000,107206.75439883245,6.818577174939492,2.1728432563791014,0.9319067883867744
2077,Oklahoma,2018-06-01T00:00:00.000,128833.19671902056,6.8855366267343925,4.403705953827461,0.931832942920198
1238,West Virginia,2017-01-01T00:00:00.000,106403.39201023796,6.818577174939492,2.1728432563791014,0.931657109043386
2588,West Virginia,2019-04-01T00:00:00.000,113501.00835983678,6.818577174939492,2.1728432563791014,0.9316111956569132
477,Oklahoma,2015-10-01T00:00:00.000,118996.31387104024,6.8855366267343925,4.403705953827461,0.9315757171941724
327,Oklahoma,2015-07-01T00:00:00.000,117939.73425127752,6.8855366267343925,4.403705953827461,0.9314182958336996
2277,Oklahoma,2018-10-01T00:00:00.000,129940.29430627852,6.8855366267343925,4.403705953827461,0.9313765804059204
1877,Oklahoma,2018-02-01T00:00:00.000,127476.8025558215,6.8855366267343925,4.403705953827461,0.9313686072234906
1638,West Virginia,2017-09-01T00:00:00.000,107371.34208443954,6.818577174939492,2.1728432563791014,0.931324007337736
2188,West Virginia,2018-08-01T00:00:00.000,111443.5192576223,6.818577174939492,2.1728432563791014,0.931316102096649
1888,West Virginia,2018-02-01T00:00:00.000,108985.52829461049,6.818577174939492,2.1728432563791014,0.9312794622190688
2127,Oklahoma,2018-07-01T00:00:00.000,128950.08756768866,6.8855366267343925,4.403705953827461,0.9312019798001976
1738,West Virginia,2017-11-01T00:00:00.000,108239.41312086202,6.818577174939492,2.1728432563791014,0.931122169765372
75,Kentucky,2015-02-01T00:00:00.000,108824.61092216847,4.940823968094264,3.2390643985419203,0.931113114346146
2227,Oklahoma,2018-09-01T00:00:00.000,129593.0949041538,6.8855366267343925,4.403705953827461,0.9309108451413608
